Episode,AvgReward,WinRate,Epsilon
0,0.0,0.0,1.0
100,229.7,37.0,0.9948208359464433
200,77.25,41.0,0.989262805327596
300,130.4,34.0,0.9840487682454294
400,15.65,31.0,0.9786779211746379
500,170.95,40.0,0.972876403277347
600,111.6,38.0,0.967783922702167
700,77.7,33.0,0.9625370170475116
800,557.95,42.0,0.9572596215897539
900,230.05,36.0,0.9519826798407898
1000,55.8,32.0,0.946646761485516
1100,281.75,38.0,0.9412829883273871
1200,435.5,46.0,0.9365716844728385
1300,250.05,42.0,0.9315032169725339
1400,65.025,42.0,0.926434510571193
1500,124.7,37.0,0.9216273525656048
1600,334.8,38.0,0.9165865463896866
1700,219.1,39.0,0.9114025945188073
1800,262.75,36.0,0.906677885110027
1900,260.75,39.0,0.9017519261384221
2000,163.325,42.0,0.8969107506171444
2100,325.5,38.0,0.8919848191734556
2200,439.05,53.0,0.8875341044442453
2300,201.05,40.0,0.8826627108797672
2400,398.35,38.0,0.8778748408737004
2500,245.1,41.0,0.8725111054330088
2600,179.4,38.0,0.8675090594406456
2700,314.15,46.0,0.8630522030889488
2800,157.3,37.0,0.8585926908722369
2900,307.05,39.0,0.8540772269028729
3000,90.95,39.0,0.8495336748394718
3100,364.45,48.0,0.844777327792548
3200,230.55,45.0,0.8395753884004846
3300,340.0,53.0,0.8345643936873175
3400,215.175,50.0,0.8300530924373858
3500,259.5,45.0,0.8256711474166732
3600,160.0,40.0,0.8212109829674166
3700,273.15,48.0,0.816469815530045
3800,328.675,45.0,0.8116054590039332
3900,456.05,54.0,0.8073776336469587
4000,398.2,39.0,0.8027716924845048
4100,311.1,40.0,0.7983184713960826
4200,310.2,44.0,0.7939659874000334
4300,344.15,46.0,0.7892198090516657
4400,464.7,49.0,0.7851897662488051
4500,341.55,48.0,0.780791834639926
4600,452.9,53.0,0.7761539063640399
4700,503.2,53.0,0.7717619085292753
4800,235.9,40.0,0.7676117260505647
4900,339.8,46.0,0.7631287538843672
5000,287.7,45.0,0.7588155361002046
5100,299.2,47.0,0.7545284059580732
5200,235.3,46.0,0.7503372358940663
5300,229.05,48.0,0.7463566690423764
5400,282.6,42.0,0.742306413204251
5500,103.85,40.0,0.7377293115004315
5600,410.4,48.0,0.7336836549850678
5700,293.675,48.0,0.72984306488069
5800,160.9,48.0,0.7257311689826339
5900,398.05,46.0,0.7215769820149246
6000,299.55,50.0,0.7174928317472116
6100,264.75,44.0,0.7134556337839949
6200,597.0,49.0,0.7093988926201465
6300,295.5,39.0,0.705935187548655
6400,629.75,52.0,0.7017506072885337
6500,304.5,48.0,0.6978734071481768
6600,334.8,53.0,0.6939334085774848
6700,505.1,54.0,0.6899533723061203
6800,128.425,39.0,0.6862735947485202
6900,452.25,47.0,0.6824252201464391
7000,339.45,46.0,0.678474414221456
7100,457.975,52.0,0.6745899272063288
7200,348.1,53.0,0.670832913034885
7300,198.8,41.0,0.6671807832251317
7400,418.25,51.0,0.6634478877055637
7500,313.375,50.0,0.6595749948562789
7600,411.3,48.0,0.6557265528190721
7700,292.5,48.0,0.6523439642112143
7800,385.75,47.0,0.6487606793220774
7900,482.15,51.0,0.6455956424781271
8000,326.575,49.0,0.641973567618775
8100,398.7,53.0,0.6380010015780773
8200,519.25,52.0,0.6342303371102395
8300,611.5,54.0,0.6303290776646939
8400,430.45,56.00000000000001,0.6267421682922862
8500,114.8,45.0,0.6233494079840974
8600,421.825,50.0,0.6195967482560042
8700,502.9,50.0,0.6164536834145167
8800,604.225,52.0,0.612577358734212
8900,530.4,54.0,0.6090628974329475
9000,459.65,52.0,0.6056815164150895
9100,317.75,45.0,0.6020812999376962
9200,676.55,56.99999999999999,0.5984678432356235
9300,433.25,54.0,0.5950233573464196
9400,589.975,51.0,0.5916185571568261
9500,387.725,53.0,0.5882709105306161
9600,339.25,47.0,0.5848013224016655
9700,407.25,46.0,0.5812478383601682
9800,592.95,52.0,0.5779994900692819
9900,550.875,52.0,0.5745961094908469
10000,394.8,51.0,0.5711972928997359
10100,321.8,54.0,0.5680276666017331
10200,245.1,46.0,0.5649803019344433
10300,278.8,46.0,0.5616267308893202
10400,515.35,56.99999999999999,0.5584136144289434
10500,575.625,57.99999999999999,0.5553048874351708
10600,561.55,56.00000000000001,0.5520979990788802
10700,633.95,60.0,0.5489946218950064
10800,424.65,54.0,0.5456294898238412
10900,556.8,55.00000000000001,0.5425168391825561
11000,941.25,69.0,0.5393747966726506
11100,629.35,59.0,0.5362852169566904
11200,362.8,53.0,0.5329253006219828
11300,185.375,49.0,0.5297324972994426
11400,687.45,56.00000000000001,0.5265766884420735
11500,402.45,54.0,0.5234100776167236
11600,573.525,56.99999999999999,0.5203899279078158
11700,293.65,50.0,0.5175604528422177
11800,588.325,51.0,0.5143763478299128
11900,290.125,50.0,0.5113830694782965
12000,709.475,62.0,0.5081799379575684
12100,567.875,55.00000000000001,0.5051203932931168
