Episode,AvgProfit,WinRate,Epsilon,Fold%,Call%,Raise%
100,63.6,52.0,0.9967,0.0,89.4,10.6
200,62.5,54.0,0.9935,0.0,89.3,10.7
300,37.6,53.0,0.9901,0.0,85.0,15.0
400,43.4,59.0,0.9868,1.9,86.0,12.1
500,31.7,57.0,0.9836,0.0,93.1,6.9
600,20.1,48.0,0.9803,0.0,83.2,16.8
700,74.3,59.0,0.9770,0.0,84.0,16.0
800,16.9,50.0,0.9738,0.0,84.8,15.2
900,15.6,54.0,0.9707,0.0,92.2,7.8
1000,61.4,48.0,0.9675,0.0,88.5,11.5
1100,87.8,61.0,0.9642,0.0,87.9,12.1
1200,64.1,48.0,0.9611,0.0,92.2,7.8
1300,63.5,54.0,0.9580,0.0,88.3,11.7
1400,97.2,58.0,0.9546,0.9,78.4,20.7
1500,86.7,57.0,0.9514,0.0,76.9,23.1
1600,45.4,47.0,0.9483,0.0,86.5,13.5
1700,46.6,52.0,0.9452,0.0,87.4,12.6
1800,110.9,53.0,0.9420,0.0,83.3,16.7
1900,28.1,46.0,0.9389,2.9,87.6,9.5
2000,72.2,57.0,0.9358,0.0,91.3,8.7
2100,81.7,57.0,0.9326,0.0,82.2,17.8
2200,64.1,52.0,0.9296,1.0,85.7,13.3
2300,105.5,54.0,0.9266,0.0,87.4,12.6
2400,72.5,57.0,0.9234,0.9,84.1,15.0
2500,10.3,47.0,0.9204,0.0,87.5,12.5
2600,56.0,55.0,0.9175,1.0,90.2,8.8
2700,110.0,61.0,0.9144,0.0,84.8,15.2
2800,37.8,54.0,0.9115,0.0,88.2,11.8
2900,6.6,43.0,0.9086,1.0,88.1,10.9
3000,18.1,56.0,0.9057,1.9,91.3,6.8
3100,80.0,56.0,0.9027,0.0,88.2,11.8
3200,111.3,54.0,0.8997,0.9,82.2,16.8
3300,55.9,45.0,0.8967,0.0,86.7,13.3
3400,28.6,53.0,0.8937,0.9,81.7,17.4
3500,62.2,59.0,0.8907,0.0,75.5,24.5
3600,69.2,45.0,0.8878,0.0,85.7,14.3
3700,54.4,51.0,0.8849,1.0,85.4,13.6
3800,-37.0,49.0,0.8819,1.9,84.9,13.2
3900,2.8,57.0,0.8789,0.0,75.7,24.3
4000,51.9,53.0,0.8759,0.0,80.2,19.8
4100,32.4,60.0,0.8731,0.0,83.8,16.2
4200,16.9,54.0,0.8703,0.0,93.1,6.9
4300,-25.2,52.0,0.8675,0.0,87.5,12.5
4400,31.8,47.0,0.8647,0.0,92.2,7.8
4500,55.8,52.0,0.8618,0.9,79.4,19.6
4600,43.3,59.0,0.8589,1.0,81.9,17.1
4700,5.3,56.0,0.8561,2.9,83.7,13.5
4800,-25.4,50.0,0.8533,0.9,86.8,12.3
4900,-42.8,55.0,0.8505,0.0,81.6,18.4
5000,79.3,49.0,0.8476,0.0,81.7,18.3
5100,98.6,47.0,0.8449,0.0,83.5,16.5
5200,96.6,51.0,0.8421,0.0,85.0,15.0
5300,24.1,48.0,0.8394,1.0,90.2,8.8
5400,16.4,49.0,0.8367,0.0,91.3,8.7
5500,43.6,48.0,0.8338,0.9,81.8,17.3
5600,40.0,48.0,0.8311,0.0,87.3,12.7
5700,53.8,46.0,0.8284,1.0,90.5,8.6
5800,83.8,52.0,0.8257,0.9,77.4,21.7
5900,10.8,54.0,0.8229,2.8,78.5,18.7
6000,72.1,52.0,0.8201,0.0,73.9,26.1
6100,92.2,59.0,0.8173,0.9,82.1,17.0
6200,24.9,50.0,0.8147,0.0,89.5,10.5
6300,20.4,60.0,0.8120,1.0,85.4,13.6
6400,18.1,55.0,0.8093,0.0,82.4,17.6
6500,60.1,55.0,0.8066,1.9,78.7,19.4
6600,50.7,56.0,0.8039,1.0,87.6,11.4
6700,-16.7,49.0,0.8012,0.9,77.6,21.5
6800,32.2,51.0,0.7987,1.0,84.5,14.6
6900,32.1,65.0,0.7961,1.0,80.0,19.0
7000,-39.3,52.0,0.7935,1.0,86.4,12.6
7100,-20.4,56.0,0.7909,1.0,78.8,20.2
7200,78.2,54.0,0.7884,1.0,88.2,10.8
7300,70.5,58.0,0.7858,1.0,75.2,23.8
7400,35.6,47.0,0.7833,0.0,88.2,11.8
7500,32.5,54.0,0.7806,1.8,73.0,25.2
7600,68.9,54.0,0.7780,0.0,76.9,23.1
7700,55.0,61.0,0.7754,2.8,73.8,23.4
7800,8.1,56.0,0.7727,1.8,75.5,22.7
7900,25.4,56.0,0.7702,1.0,79.0,20.0
8000,128.1,68.0,0.7677,0.0,76.4,23.6
8100,73.7,58.0,0.7652,0.0,81.9,18.1
8200,82.3,59.0,0.7626,0.9,76.9,22.2
8300,31.8,58.0,0.7601,0.9,73.8,25.2
8400,-7.1,53.0,0.7576,0.0,81.6,18.4
8500,22.2,54.0,0.7550,0.9,75.0,24.1
8600,40.0,53.0,0.7525,1.9,74.1,24.1
8700,-13.1,57.0,0.7499,0.9,77.1,22.0
8800,-12.6,52.0,0.7474,2.7,71.8,25.5
8900,48.0,58.0,0.7450,1.0,84.5,14.6
9000,61.3,56.0,0.7425,1.0,76.2,22.9
9100,55.5,56.0,0.7400,0.0,76.6,23.4
9200,52.0,52.0,0.7375,0.0,84.0,16.0
9300,30.1,50.0,0.7352,0.0,85.3,14.7
9400,114.2,51.0,0.7328,0.0,80.4,19.6
9500,1.1,54.0,0.7302,1.8,78.6,19.6
9600,18.6,52.0,0.7279,0.0,83.8,16.2
9700,4.9,51.0,0.7254,0.0,72.9,27.1
9800,14.5,51.0,0.7230,1.8,73.6,24.5
9900,26.2,61.0,0.7206,0.9,79.2,19.8
10000,46.5,59.0,0.7181,0.0,73.6,26.4
10100,12.4,56.0,0.7158,0.0,76.2,23.8
10200,-14.7,53.0,0.7135,0.0,76.2,23.8
10300,10.2,52.0,0.7111,0.9,76.1,22.9
10400,13.6,49.0,0.7087,0.0,79.6,20.4
10500,132.4,64.0,0.7064,0.0,77.1,22.9
10600,-69.0,49.0,0.7040,0.9,76.9,22.2
10700,188.9,62.0,0.7016,2.7,68.5,28.8
10800,41.9,51.0,0.6992,0.0,72.1,27.9
10900,10.1,49.0,0.6970,1.9,79.8,18.3
11000,20.3,59.0,0.6946,0.9,81.5,17.6
11100,71.8,59.0,0.6923,0.0,78.7,21.3
11200,-74.2,50.0,0.6900,0.0,81.5,18.5
11300,82.1,62.0,0.6876,1.8,68.1,30.1
11400,-48.9,51.0,0.6852,0.0,71.7,28.3
11500,136.7,68.0,0.6830,0.0,78.8,21.2
11600,52.0,59.0,0.6808,0.0,76.4,23.6
11700,38.0,49.0,0.6784,0.9,74.1,25.0
11800,27.6,59.0,0.6762,0.9,72.2,26.9
11900,51.3,49.0,0.6740,1.9,80.8,17.3
12000,101.8,59.0,0.6718,1.0,77.1,21.9
12100,-3.5,59.0,0.6696,0.9,78.5,20.6
12200,12.8,56.0,0.6674,0.9,80.7,18.3
12300,-0.8,56.0,0.6652,1.9,70.1,28.0
12400,151.6,57.0,0.6629,0.0,70.9,29.1
12500,-92.2,55.0,0.6608,2.8,75.5,21.7
12600,75.4,57.0,0.6585,1.8,74.5,23.6
12700,115.0,67.0,0.6563,0.0,71.4,28.6
12800,78.2,54.0,0.6541,0.0,74.8,25.2
12900,28.9,61.0,0.6520,1.0,78.8,20.2
13000,26.8,55.0,0.6499,0.0,76.4,23.6
13100,3.6,55.0,0.6477,0.9,74.5,24.5
13200,88.9,56.0,0.6455,1.8,65.5,32.7
13300,60.2,46.0,0.6433,0.0,75.2,24.8
13400,-62.2,53.0,0.6412,1.8,75.2,22.9
13500,112.0,61.0,0.6390,0.0,73.6,26.4
13600,66.0,55.0,0.6369,0.0,76.1,23.9
13700,79.7,53.0,0.6348,0.0,81.3,18.7
13800,71.2,66.0,0.6326,0.9,66.7,32.4
13900,26.4,55.0,0.6305,0.0,78.9,21.1
14000,78.5,61.0,0.6284,0.9,72.1,27.0
14100,20.1,54.0,0.6263,0.9,70.9,28.2
14200,42.5,54.0,0.6242,0.0,76.1,23.9
14300,51.5,46.0,0.6221,0.0,78.7,21.3
14400,70.5,53.0,0.6200,0.9,68.8,30.4
14500,-3.6,49.0,0.6179,0.9,78.5,20.6
14600,-25.2,59.0,0.6158,2.6,64.9,32.5
14700,-3.5,52.0,0.6138,0.0,74.5,25.5
14800,98.2,56.0,0.6117,0.0,67.5,32.5
14900,130.1,62.0,0.6096,0.0,67.9,32.1
15000,57.3,54.0,0.6076,0.0,75.5,24.5
15100,21.4,56.0,0.6056,1.9,75.7,22.4
15200,27.5,57.0,0.6035,3.5,64.0,32.5
15300,76.7,57.0,0.6016,0.0,80.8,19.2
15400,63.5,54.0,0.5997,0.0,78.6,21.4
15500,135.1,57.0,0.5976,0.0,73.9,26.1
15600,153.7,65.0,0.5957,0.0,77.1,22.9
15700,35.1,52.0,0.5938,1.0,74.3,24.8
15800,123.1,57.0,0.5919,0.0,75.9,24.1
15900,5.5,53.0,0.5899,0.9,77.1,22.0
16000,73.4,64.0,0.5879,0.0,63.7,36.3
16100,74.9,54.0,0.5859,0.9,79.8,19.3
16200,103.3,49.0,0.5839,3.5,64.6,31.9
16300,75.9,57.0,0.5820,1.8,66.4,31.8
16400,50.6,57.0,0.5799,1.8,67.5,30.7
16500,-81.4,46.0,0.5780,0.0,70.6,29.4
16600,8.9,52.0,0.5761,0.0,74.8,25.2
16700,75.1,57.0,0.5741,0.9,69.9,29.2
16800,67.3,58.0,0.5722,0.0,72.1,27.9
16900,4.0,53.0,0.5702,0.9,68.1,31.0
17000,-6.7,54.0,0.5682,1.8,74.3,23.9
17100,59.4,51.0,0.5664,0.0,80.0,20.0
17200,162.4,55.0,0.5644,0.0,67.8,32.2
17300,33.6,56.0,0.5626,0.0,76.6,23.4
17400,-18.7,46.0,0.5607,0.9,77.5,21.6
17500,7.2,51.0,0.5589,0.0,77.1,22.9
17600,148.2,62.0,0.5571,0.0,75.9,24.1
17700,28.5,57.0,0.5552,0.9,67.0,32.2
17800,26.1,57.0,0.5533,1.8,66.4,31.9
17900,144.1,66.0,0.5514,0.9,72.6,26.5
18000,26.1,59.0,0.5496,0.0,70.1,29.9
18100,-3.0,58.0,0.5476,2.5,61.0,36.4
18200,127.8,58.0,0.5458,0.9,63.4,35.7
18300,49.0,62.0,0.5439,0.9,68.5,30.6
18400,131.3,54.0,0.5420,0.9,67.2,31.9
18500,121.6,57.0,0.5402,0.9,69.4,29.7
18600,63.8,54.0,0.5384,0.9,69.7,29.4
18700,-6.4,46.0,0.5366,0.9,67.3,31.9
18800,81.7,56.0,0.5349,0.0,78.3,21.7
18900,124.3,50.0,0.5331,0.0,67.9,32.1
19000,92.1,57.0,0.5314,0.0,73.8,26.2
19100,109.6,64.0,0.5296,0.0,67.6,32.4
19200,89.0,55.0,0.5278,0.0,69.0,31.0
19300,48.7,53.0,0.5260,0.0,66.4,33.6
19400,-84.2,45.0,0.5242,0.9,72.1,27.0
19500,-97.1,49.0,0.5225,0.9,72.1,27.0
19600,-28.1,60.0,0.5207,1.8,64.9,33.3
19700,23.4,57.0,0.5190,1.8,67.3,30.9
19800,57.4,50.0,0.5172,1.7,61.3,37.0
19900,113.3,61.0,0.5154,0.0,66.4,33.6
20000,51.8,61.0,0.5138,1.9,74.1,24.1
20100,-65.7,53.0,0.5121,0.0,72.7,27.3
